file,cost,sigma,nSV_0,nSV_1,TN,FN,FP,TP,Kappa,
blood_trans,0.5,0.1,28,27,260,0,0,180,1,
biodegrad,0.5,0.1,149,65,312,0,0,216,1,
breast,0.5,0.1,6,4,26,0,0,4,1,
ecoli,0.5,0.1,10,11,65,0,0,36,1,
fertility,1,0.1,27,9,38,0,1,13,1,
haberman,0.5,0.1,27,19,104,0,0,72,1,
liver,0.5,0.1,69,34,182,0,0,126,1,
ionosphere,0.5,0.1,42,40,104,0,0,72,1,
mammo,0.5,0.1,54,45,195,0,0,135,1,
parkinson,0.5,0.1,34,18,65,0,0,38,1,
seeds,0.5,0.1,13,11,65,0,0,36,1,
blood_trans,0.5,0.1,35,29,260,0,0,180,1,
biodegrad,0.5,0.1,145,71,312,0,0,216,1,
breast,0.5,0.1,7,5,26,0,0,6,1,
ecoli,0.5,0.1,14,15,65,0,0,38,1,
fertility,0.5,0.1,27,11,39,0,0,12,1,
haberman,0.5,0.1,21,20,104,0,0,72,1,
liver,0.5,0.1,64,35,182,0,0,126,1,
ionosphere,0.5,0.1,43,45,104,0,0,72,1,
mammo,0.5,0.1,52,38,195,0,0,135,1,
parkinson,0.5,0.1,33,24,65,0,0,34,1,
seeds,0.5,0.1,18,15,65,0,0,39,1,
blood_trans,0.5,0.1,32,25,260,0,0,180,1,
biodegrad,1,0.1,162,58,312,0,0,216,1,
breast,0.5,0.1,8,5,26,0,0,6,1,
ecoli,0.5,0.1,10,12,65,0,0,36,1,
fertility,1,0.1,29,10,39,0,0,14,1,
haberman,0.5,0.1,28,23,104,0,0,72,1,
liver,0.5,0.1,65,33,182,0,0,126,1,
ionosphere,0.5,0.1,43,43,104,0,0,72,1,
mammo,0.5,0.1,58,48,195,0,0,135,1,
parkinson,0.5,0.1,31,22,65,0,0,33,1,
seeds,0.5,0.1,13,11,65,0,0,39,1,
