file,cost,sigma,nSV_0,nSV_1,TN,FN,FP,TP,Kappa,
ionosphere,0.5,0.1,60,67,240,0,0,128,1,
mammo,0.5,0.1,73,47,450,0,0,240,1,
parkinson,0.5,0.1,45,24,150,0,0,64,1,
seeds,0.5,0.1,15,12,150,0,0,63,1,
blood_trans,0.5,0.1,38,26,600,0,0,320,1,
biodegrad,0.5,0.1,220,91,720,0,0,384,1,
breast,0.5,0.1,9,5,60,0,0,9,1,
ecoli,0.5,0.1,13,14,150,0,0,65,1,
fertility,0.5,0.1,36,15,90,0,0,18,1,
haberman,0.5,0.1,29,21,240,0,0,128,1,
liver,0.5,0.1,76,39,420,0,0,224,1,
ionosphere,0.5,0.1,64,51,240,0,0,128,1,
mammo,0.5,0.1,74,55,450,0,0,240,1,
parkinson,0.5,0.1,31,17,150,0,0,64,1,
seeds,0.5,0.1,13,11,150,0,0,70,1,
blood_trans,0.5,0.1,28,28,600,0,0,320,1,
biodegrad,0.5,0.1,216,82,720,0,0,384,1,
breast,0.5,0.1,6,7,60,0,0,8,1,
ecoli,0.5,0.1,16,16,148,0,2,64,1,
fertility,0.5,0.1,36,15,90,0,0,21,1,
haberman,0.5,0.1,30,22,240,0,0,128,1,
liver,0.5,0.1,74,36,420,0,0,224,1,
ionosphere,0.5,0.1,67,58,240,0,0,128,1,
mammo,0.5,0.1,61,44,450,0,0,240,1,
parkinson,0.5,0.1,38,20,150,0,0,68,1,
seeds,0.5,0.1,14,12,150,0,0,62,1,
