file,cost,sigma,nSV_0,nSV_1,TN,FN,FP,TP,Kappa,
liver,0.5,0.1,84,45,420,0,0,224,1,
ionosphere,0.5,0.1,72,68,240,0,0,128,1,
mammo,0.5,0.1,71,47,450,0,0,240,1,
parkinson,0.5,0.1,49,25,150,0,0,59,1,
seeds,0.5,0.1,17,14,150,0,0,69,1,
blood_trans,0.5,0.1,35,31,597,0,3,320,1,
biodegrad,0.5,0.1,213,87,720,0,0,384,1,
breast,0.5,0.1,13,9,60,0,0,11,1,
ecoli,0.5,0.1,18,15,150,0,0,64,1,
fertility,0.5,0.1,40,16,90,0,0,21,1,
haberman,0.5,0.1,29,22,240,0,0,128,1,
liver,0.5,0.1,79,40,420,0,0,224,1,
ionosphere,0.5,0.1,54,50,240,0,0,128,1,
mammo,0.5,0.1,64,53,450,0,0,240,1,
parkinson,0.5,0.1,45,25,150,0,0,69,1,
seeds,0.5,0.1,19,14,150,0,0,67,1,
blood_trans,0.5,0.1,31,27,600,0,0,320,1,
biodegrad,0.5,0.1,218,90,720,0,0,384,1,
breast,0.5,0.1,8,4,60,0,0,10,1,
ecoli,0.5,0.1,14,12,150,0,0,59,1,
fertility,0.5,0.1,43,13,90,0,0,28,1,
haberman,0.5,0.1,28,24,240,0,0,128,1,
liver,0.5,0.1,75,37,420,0,0,224,1,
ionosphere,0.5,0.1,72,61,240,0,0,128,1,
mammo,0.5,0.1,68,37,450,0,0,240,1,
parkinson,0.5,0.1,49,22,150,0,0,63,1,
seeds,0.5,0.1,19,13,150,0,0,62,1,
blood_trans,0.5,0.1,35,32,600,0,0,320,1,
biodegrad,0.5,0.1,225,91,720,0,0,384,1,
breast,0.5,0.1,9,7,60,0,0,8,1,
ecoli,0.5,0.1,17,18,150,0,0,67,1,
fertility,0.5,0.1,36,11,90,0,0,16,1,
haberman,0.5,0.1,28,22,240,0,0,128,1,
liver,0.5,0.1,85,37,420,0,0,224,1,
ionosphere,0.5,0.1,57,61,240,0,0,128,1,
mammo,0.5,0.1,71,50,450,0,0,240,1,
parkinson,0.5,0.1,43,26,150,0,0,68,1,
seeds,0.5,0.1,15,12,150,0,0,64,1,
blood_trans,0.5,0.1,34,30,600,0,0,320,1,
biodegrad,0.5,0.1,212,89,720,0,0,384,1,
breast,0.5,0.1,9,6,60,0,0,7,1,
ecoli,0.5,0.1,11,11,150,0,0,69,1,
fertility,0.5,0.1,36,14,90,0,0,25,1,
haberman,0.5,0.1,29,26,240,0,0,128,1,
liver,0.5,0.1,85,38,420,0,0,224,1,
ionosphere,0.5,0.1,65,61,240,0,0,128,1,
mammo,0.5,0.1,73,42,450,0,0,240,1,
parkinson,0.5,0.1,31,17,150,0,0,65,1,
seeds,0.5,0.1,19,15,150,0,0,66,1,
